ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock
55C40642,SeasonA_Y3,Product38,Cycle2,Country2,Biz_unit4,Cat10,SubCat9,UnitBase216,Gender2,Group2,Colour7,20160311,13.00,19,2,112,0
55C41F67,SeasonA_Y3,Product4,Cycle2,Country1,Biz_unit3,Cat3,SubCat8,UnitBase126,Gender1,Group8,Colour8,20160109,9.00,0,16,126,0
55C42B79,SeasonA_Y3,Product2,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase45,Gender2,Group8,Colour11,20160305,6.50,6,28,166,0
55C4D751,SeasonA_Y3,Product30,Cycle2,Country4,Biz_unit3,Cat8,SubCat24,UnitBase80,Gender1,Group9,Colour2,20160115,3.50,0,167,50,0
55C5FF47,SeasonA_Y3,Product16,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase171,Gender1,Group8,Colour2,20160105,5.00,5,35,11,0
55C60755,SeasonA_Y3,Product16,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase171,Gender1,Group8,Colour3,20160105,5.00,5,22,13,0
55C62383,SeasonA_Y3,Product22,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase101,Gender2,Group8,Colour2,20160217,8.00,3,62,200,0
55C76D13,SeasonA_Y3,Product13,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase77,Gender1,Group8,Colour1,20160105,8.00,5,31,171,0
55C7D921,SeasonA_Y3,Product4,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase54,Gender2,Group8,Colour11,20160122,7.50,0,11,343,0
55C7E331,SeasonA_Y3,Product4,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase54,Gender2,Group8,Colour2,20160122,7.50,0,23,197,0
55DB6020,SeasonA_Y3,Product41,Cycle2,Country5,Biz_unit3,Cat8,SubCat36,UnitBase134,Gender2,Group8,Colour1,20160106,2.00,0,96,151,0
55DB6525,SeasonA_Y3,Product41,Cycle2,Country5,Biz_unit3,Cat8,SubCat36,UnitBase134,Gender2,Group8,Colour11,20160106,2.00,0,96,115,0
55DB7D49,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat24,UnitBase250,Gender1,Group8,Colour2,0,6.50,0,0,0,1
55DB8557,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat24,UnitBase250,Gender1,Group8,Colour2,0,6.50,0,0,0,1
55DDC432,SeasonA_Y3,Product86,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase373,Gender2,Group8,Colour13,20160128,3.00,4,4,3,0
55DDD145,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit3,Cat8,SubCat36,UnitBase371,Gender2,Group8,Colour13,20160108,3.50,0,39,84,0
55DDEA70,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat33,UnitBase378,Gender1,Group8,Colour13,20160107,3.50,0,25,428,1
55DE0092,SeasonA_Y3,Product84,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase377,Gender2,Group8,Colour13,20160106,5.00,0,70,186,0
55DE0F07,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit3,Cat8,SubCat37,UnitBase365,Gender1,Group8,Colour13,20160106,3.50,0,25,103,0
55DE1614,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase377,Gender2,Group8,Colour13,20160106,3.50,0,76,198,0
55DE1E22,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase377,Gender2,Group8,Colour11,20160107,3.00,0,30,148,0
55DE2428,SeasonA_Y3,Product86,Cycle2,Country1,Biz_unit4,Cat15,SubCat33,UnitBase384,Gender1,Group8,Colour13,20160121,3.00,0,42,76,0
55DE2A34,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat6,UnitBase94,Gender1,Group8,Colour11,20151230,3.00,0,29,111,0
55DF6650,SeasonA_Y3,Product72,Cycle2,Country1,Biz_unit3,Cat3,SubCat6,UnitBase79,Gender1,Group8,Colour2,20160107,4.00,0,66,62,0
55E11A86,SeasonA_Y3,Product30,Cycle2,Country1,Biz_unit3,Cat8,SubCat24,UnitBase502,Gender1,Group8,Colour13,20160113,9.00,0,17,131,0
55E13B19,SeasonA_Y3,Product31,Cycle2,Country1,Biz_unit3,Cat8,SubCat24,UnitBase80,Gender1,Group9,Colour1,20160109,8.00,0,28,153,0
55E1A525,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat25,UnitBase249,Gender1,Group8,Colour2,20160107,6.50,0,33,19,0
55E1C961,SeasonA_Y3,Product3,Cycle2,Country1,Biz_unit4,Cat4,SubCat9,UnitBase340,Gender2,Group2,Colour11,20160126,15.00,2,33,176,0
55E20218,SeasonA_Y3,Product3,Cycle1,Country5,Biz_unit3,Cat3,SubCat6,UnitBase10,Gender1,Group10,Colour8,20160119,6.50,0,16,237,0
55E20824,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit3,Cat3,SubCat11,UnitBase458,Gender2,Group2,Colour2,20160103,8.00,3,88,180,0
55E20E30,SeasonB_Y3,Product3,Cycle1,Country5,Biz_unit3,Cat3,SubCat11,UnitBase102,Gender1,Group10,Colour11,20160103,9.00,7,64,165,0
55E26820,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group2,Colour9,20160106,9.00,10,71,233,0
55E2E343,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase143,Gender1,Group8,Colour1,20160201,8.00,1,8,202,0
55E3B351,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat9,UnitBase348,Gender2,Group2,Colour11,20160111,9.00,0,44,78,0
55E40B39,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group9,Colour5,20160104,6.50,8,33,224,0
55E41650,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group9,Colour2,20160104,6.50,8,63,353,0
55E41C56,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase344,Gender2,Group8,Colour10,20151230,8.00,3,53,140,0
55E42565,SeasonA_Y3,Product1,Cycle1,Country4,Biz_unit3,Cat3,SubCat10,UnitBase344,Gender2,Group10,Colour3,20160107,5.00,11,17,307,0
55E46226,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase344,Gender2,Group9,Colour2,20151230,6.50,3,61,170,0
55E48056,SeasonA_Y3,Product22,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase171,Gender1,Group8,Colour2,20160125,6.50,1,104,54,0
55E53638,SeasonA_Y3,Product3,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase116,Gender2,Group2,Colour2,20160102,9.00,6,79,109,0
55E57096,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit3,Cat3,SubCat8,UnitBase25,Gender1,Group2,Colour9,20160108,9.00,0,20,218,0
55E58517,SeasonA_Y3,Product7,Cycle2,Country5,Biz_unit3,Cat3,SubCat8,UnitBase190,Gender2,Group2,Colour2,20160108,10.00,0,30,218,0
55E58F27,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit3,Cat3,SubCat10,UnitBase344,Gender2,Group8,Colour11,20160109,8.00,0,30,184,0
55E59937,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit3,Cat3,SubCat8,UnitBase459,Gender1,Group8,Colour8,20160108,6.50,0,47,209,0
55E63A98,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit3,Cat3,SubCat11,UnitBase75,Gender1,Group2,Colour2,20160220,8.00,0,30,95,0
55E69993,SeasonA_Y3,Product20,Cycle2,Country1,Biz_unit3,Cat8,SubCat15,UnitBase36,Gender2,Group9,Colour2,20160204,4.50,4,13,293,0
55E6F888,SeasonA_Y3,Product30,Cycle2,Country1,Biz_unit3,Cat8,SubCat25,UnitBase81,Gender1,Group9,Colour2,20160201,5.00,1,7,12,0
55E70197,SeasonA_Y3,Product30,Cycle2,Country1,Biz_unit3,Cat8,SubCat25,UnitBase81,Gender1,Group9,Colour13,20160201,8.00,1,17,98,0
55E70905,SeasonA_Y3,Product116,Cycle2,Country1,Biz_unit3,Cat8,SubCat24,UnitBase80,Gender2,Group9,Colour13,20160205,8.00,5,5,201,0
55E76C04,SeasonA_Y3,Product66,Cycle2,Country4,Biz_unit3,Cat3,SubCat8,UnitBase212,Gender2,Group9,Colour2,0,5.00,0,0,0,1
55E77109,SeasonA_Y3,Product66,Cycle1,Country4,Biz_unit4,Cat4,SubCat9,UnitBase265,Gender2,Group9,Colour4,0,5.00,0,0,0,1
55E77412,SeasonA_Y3,Product66,Cycle1,Country4,Biz_unit4,Cat4,SubCat9,UnitBase265,Gender2,Group9,Colour11,0,5.00,0,0,0,1
55E78832,SeasonA_Y3,Product66,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase187,Gender1,Group9,Colour2,0,5.00,0,0,0,1
55E79545,SeasonA_Y3,Product66,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase187,Gender1,Group9,Colour11,0,5.00,0,0,0,1
55E81E82,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat9,UnitBase348,Gender2,Group9,Colour2,20160104,6.50,8,68,273,0
55E90917,SeasonA_Y3,Product43,Cycle2,Country1,Biz_unit4,Cat15,SubCat74,UnitBase421,Gender2,Group9,Colour2,0,2.00,0,0,0,1
55E9FC60,SeasonA_Y3,Product10,Cycle1,Country2,Biz_unit4,Cat4,SubCat9,UnitBase14,Gender2,Group10,Colour2,20160203,9.00,3,71,74,0
55EA5145,SeasonA_Y3,Product5,Cycle1,Country1,Biz_unit3,Cat3,SubCat6,UnitBase363,Gender1,Group10,Colour8,20160209,4.00,2,50,106,0
55EA5751,SeasonA_Y3,Product5,Cycle1,Country1,Biz_unit3,Cat3,SubCat6,UnitBase363,Gender1,Group10,Colour1,20160208,4.00,1,27,158,0
55EA5D57,SeasonA_Y3,Product7,Cycle1,Country1,Biz_unit3,Cat3,SubCat6,UnitBase13,Gender1,Group10,Colour2,20160206,6.50,0,46,119,0
55EA6363,SeasonA_Y3,Product7,Cycle1,Country1,Biz_unit3,Cat3,SubCat6,UnitBase13,Gender1,Group10,Colour3,20160208,6.50,1,93,122,0
55EAA327,SeasonA_Y3,Product25,Cycle2,Country7,Biz_unit3,Cat3,SubCat8,UnitBase441,Gender2,Group8,Colour2,0,7.50,0,0,0,1
55EAA933,SeasonA_Y3,Product3,Cycle1,Country7,Biz_unit4,Cat4,SubCat12,UnitBase156,Gender1,Group10,Colour1,20160317,10.00,0,90,118,0
55EAB040,SeasonA_Y3,Product3,Cycle1,Country7,Biz_unit4,Cat4,SubCat12,UnitBase156,Gender1,Group10,Colour2,0,10.00,0,0,0,1
55EACC68,SeasonA_Y3,Product3,Cycle1,Country4,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group10,Colour8,20160104,5.00,8,159,91,0
55EAD577,SeasonA_Y3,Product3,Cycle1,Country4,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group10,Colour3,20160104,5.00,8,79,109,0
55FBCC20,SeasonA_Y3,Product46,Cycle2,Country1,Biz_unit4,Cat13,SubCat69,UnitBase366,Gender3,Group2,Colour9,20160130,4.00,6,6,83,0
55FBD125,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat61,UnitBase286,Gender2,Group2,Colour2,20160121,6.50,0,11,123,0
55FBD529,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat26,UnitBase83,Gender3,Group2,Colour2,20160226,5.00,5,5,12,0
55FBDE38,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat61,UnitBase286,Gender2,Group2,Colour2,20160116,6.50,0,1,114,0
55FBE040,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat26,UnitBase83,Gender3,Group2,Colour9,20160125,5.00,1,17,169,0
55FBE646,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat26,UnitBase83,Gender2,Group2,Colour2,20160125,5.00,1,49,29,0
55FBEC52,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat61,UnitBase286,Gender3,Group2,Colour2,20160129,6.50,5,3,118,0
55FBF359,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group2,Colour2,0,6.50,0,0,0,1
55FBFC68,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group8,Colour2,0,6.50,0,0,0,1
55FC0577,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group8,Colour5,0,6.50,0,0,0,1
55FC3E34,SeasonA_Y3,Product4,Cycle2,Country1,Biz_unit4,Cat4,SubCat9,UnitBase54,Gender2,Group2,Colour3,20160216,9.00,2,12,214,0
55FCEB07,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat61,UnitBase286,Gender2,Group2,Colour5,20160123,6.50,0,5,105,0
55FCED09,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat57,UnitBase264,Gender3,Group2,Colour8,20160115,5.00,0,4,98,0
55FCF113,SeasonA_Y3,Product46,Cycle2,Country1,Biz_unit4,Cat13,SubCat69,UnitBase366,Gender3,Group2,Colour10,20160121,4.00,0,4,126,0
55FCFB23,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat30,UnitBase119,Gender1,Group2,Colour9,20160130,4.00,6,20,29,0
55FD0028,SeasonA_Y3,Product46,Cycle2,Country1,Biz_unit4,Cat13,SubCat69,UnitBase366,Gender3,Group2,Colour2,20160113,4.00,0,13,36,0
55FD0533,SeasonA_Y3,Product67,Cycle2,Country1,Biz_unit4,Cat13,SubCat57,UnitBase264,Gender1,Group2,Colour2,20160126,4.00,2,30,84,0
55FD0E42,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase44,Gender1,Group9,Colour9,20160218,6.50,0,5,5,0
55FD2B71,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase44,Gender1,Group9,Colour2,0,6.50,0,0,0,1
55FD7747,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase86,Gender1,Group2,Colour1,20160208,7.50,1,77,80,0
55FD9981,SeasonA_Y3,Product3,Cycle2,Country4,Biz_unit3,Cat3,SubCat8,UnitBase151,Gender2,Group2,Colour9,0,9.00,0,0,0,1
55FDB206,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat26,UnitBase83,Gender2,Group2,Colour5,20160228,5.00,7,8,243,0
55FDBA14,SeasonA_Y3,Product32,Cycle2,Country1,Biz_unit4,Cat13,SubCat26,UnitBase83,Gender2,Group2,Colour9,20160128,5.00,4,24,136,0
55FEF832,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase109,Gender2,Group8,Colour2,0,5.00,0,0,0,1
55FF7860,SeasonA_Y3,Product46,Cycle2,Country1,Biz_unit4,Cat13,SubCat46,UnitBase179,Gender1,Group2,Colour14,20160113,4.00,0,19,79,0
55FF7D65,SeasonA_Y3,Product46,Cycle2,Country1,Biz_unit4,Cat13,SubCat46,UnitBase179,Gender1,Group2,Colour15,20160115,4.00,0,11,190,0
55FFBF31,SeasonA_Y3,Product23,Cycle2,Country1,Biz_unit4,Cat13,SubCat53,UnitBase529,Gender3,Group2,Colour2,20160310,8.00,4,31,69,0
55FFC335,SeasonA_Y3,Product23,Cycle2,Country1,Biz_unit4,Cat13,SubCat53,UnitBase389,Gender3,Group2,Colour3,20160302,5.00,10,56,24,0
55FFC537,SeasonA_Y3,Product23,Cycle2,Country1,Biz_unit4,Cat13,SubCat53,UnitBase389,Gender3,Group2,Colour2,20160224,5.00,3,62,60,0
55FFC739,SeasonA_Y3,Product61,Cycle2,Country1,Biz_unit4,Cat13,SubCat67,UnitBase388,Gender2,Group2,Colour11,20160223,8.00,0,56,9,0
56011169,SeasonA_Y3,Product7,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase186,Gender1,Group9,Colour8,20160303,5.00,0,180,94,0
56025694,SeasonA_Y3,Product9,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase155,Gender1,Group2,Colour5,20160301,8.00,1,10,182,0
56026105,SeasonA_Y3,Product13,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase77,Gender1,Group2,Colour1,20160302,9.00,2,22,81,0
5604C517,SeasonA_Y3,Product6,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase339,Gender2,Group2,Colour5,0,10.00,0,0,0,1
56055C68,SeasonA_Y3,Product25,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase127,Gender2,Group2,Colour2,20160306,9.00,7,15,28,0
56056F87,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase154,Gender1,Group2,Colour2,0,11.50,0,0,0,1
5605AF51,SeasonA_Y3,Product6,Cycle2,Country2,Biz_unit3,Cat3,SubCat10,UnitBase474,Gender2,Group2,Colour11,0,9.00,0,0,0,1
56064C08,SeasonB_Y3,Product34,Cycle1,Country1,Biz_unit3,Cat3,SubCat11,UnitBase105,Gender1,Group10,Colour2,20160208,8.00,1,46,231,0
5606BC20,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase377,Gender2,Group8,Colour13,20160305,3.50,0,1,189,0
5606C327,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase377,Gender2,Group8,Colour13,20160225,3.50,0,0,197,0
5606CD37,SeasonA_Y3,Product83,Cycle2,Country1,Biz_unit4,Cat15,SubCat33,UnitBase378,Gender1,Group8,Colour13,20160417,3.50,56,8,63,0
56082884,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat25,UnitBase213,Gender2,Group9,Colour1,20160222,5.00,0,0,0,0
5.61E+94,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat24,UnitBase201,Gender1,Group9,Colour1,20160302,5.00,3,18,132,0
56083496,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat24,UnitBase212,Gender1,Group9,Colour2,0,5.00,0,0,0,1
56083A02,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit3,Cat8,SubCat24,UnitBase212,Gender1,Group9,Colour1,0,5.00,0,0,0,1
56084109,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase204,Gender2,Group9,Colour1,0,5.00,0,0,0,1
56084614,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase204,Gender1,Group9,Colour2,0,5.00,0,0,0,1
56085024,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase203,Gender1,Group9,Colour2,0,5.00,0,0,0,1
56085428,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase203,Gender1,Group9,Colour1,0,5.00,0,0,0,1
56096804,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group2,Colour8,20160308,11.50,2,55,192,0
56096A06,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group8,Colour1,20160308,9.00,2,92,105,0
56097820,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group8,Colour2,20160308,9.00,2,125,124,0
56098B39,SeasonA_Y3,Product87,Cycle2,Country5,Biz_unit3,Cat3,SubCat11,UnitBase449,Gender1,Group2,Colour11,20160202,11.50,2,40,77,0
5609A060,SeasonA_Y3,Product3,Cycle1,Country4,Biz_unit3,Cat3,SubCat8,UnitBase25,Gender1,Group10,Colour2,20160307,5.00,1,51,271,0
560A2896,SeasonA_Y3,Product7,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase13,Gender1,Group8,Colour1,20160324,7.50,0,100,152,0
560A2E02,SeasonA_Y3,Product7,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase13,Gender1,Group8,Colour2,20160323,7.50,0,155,69,0
560A3408,SeasonA_Y3,Product117,Cycle2,Country2,Biz_unit3,Cat3,SubCat11,UnitBase426,Gender1,Group2,Colour2,20160405,10.00,0,37,167,0
561FBA18,SeasonA_Y3,Product2,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase45,Gender2,Group2,Colour11,20160517,6.50,2,48,253,0
56220000,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase26,Gender2,Group8,Colour3,20160509,5.00,1,201,202,0
56220B11,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase104,Gender2,Group8,Colour5,20160511,4.00,3,68,155,0
5624BC00,SeasonA_Y3,Product7,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase186,Gender1,Group2,Colour1,20160301,11.50,2,34,220,0
56279327,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase46,Gender1,Group8,Colour1,20160308,5.00,2,173,40,0
5627A545,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase46,Gender1,Group8,Colour1,20160308,5.00,2,178,45,0
562DB800,SeasonA_Y3,Product7,Cycle2,Country5,Biz_unit3,Cat3,SubCat6,UnitBase13,Gender1,Group2,Colour8,20160414,10.00,4,86,89,0
562DBE06,SeasonA_Y3,Product34,Cycle2,Country5,Biz_unit3,Cat3,SubCat6,UnitBase381,Gender1,Group2,Colour3,20160331,9.00,4,32,125,0
56412169,SeasonA_Y3,Product5,Cycle2,Country4,Biz_unit3,Cat3,SubCat6,UnitBase363,Gender1,Group9,Colour2,20160314,5.00,1,49,264,0
56460A26,SeasonA_Y3,Product11,Cycle1,Country2,Biz_unit3,Cat3,SubCat6,UnitBase84,Gender1,Group10,Colour1,20160318,3.00,5,31,71,0
564C7A74,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group10,Colour8,20160322,3.00,0,53,67,0
564C7E78,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group10,Colour1,20160324,3.00,0,30,66,0
564D1428,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour9,20160405,5.00,2,51,39,0
564D1832,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour8,20160405,5.00,2,36,22,0
564D2040,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour2,20160330,5.00,3,97,20,0
564D2848,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour3,20160328,5.00,1,25,46,0
564D2C52,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour2,20160331,5.00,4,19,92,0
564D3864,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour2,20160402,5.00,2,10,128,0
564D3C68,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour2,20160430,5.00,0,23,229,0
564D4072,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour2,20160331,5.00,0,25,43,0
564D4476,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour1,20160401,5.00,1,16,136,0
564D5896,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase74,Gender1,Group2,Colour3,20160331,5.00,0,11,96,0
564E5D57,SeasonA_Y3,Product41,Cycle2,Country1,Biz_unit4,Cat15,SubCat73,UnitBase338,Gender2,Group2,Colour2,20160323,2.00,10,1,208,0
564F8351,SeasonA_Y3,Product34,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase381,Gender1,Group2,Colour1,20160328,9.00,1,65,114,0
5660C670,SeasonA_Y3,Product9,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase188,Gender2,Group2,Colour2,20160606,9.00,4,260,190,0
56643650,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group2,Colour2,20160317,9.00,0,134,107,0
56650456,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group10,Colour2,20160304,4.00,0,12,67,0
56650A62,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group10,Colour8,20160303,4.00,0,41,33,0
56652488,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group10,Colour2,20160304,4.00,0,50,45,0
56652C96,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group10,Colour5,20160304,4.00,0,4,152,0
56653404,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group10,Colour2,20160304,4.00,0,19,89,0
5665EF91,SeasonA_Y3,Product3,Cycle2,Country1,Biz_unit4,Cat4,SubCat9,UnitBase340,Gender2,Group2,Colour2,20160307,15.00,8,130,73,0
56672A06,SeasonA_Y3,Product9,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase188,Gender2,Group2,Colour2,20160503,9.00,3,48,296,0
5682D892,SeasonA_Y3,Product34,Cycle2,Country2,Biz_unit3,Cat3,SubCat11,UnitBase90,Gender1,Group2,Colour11,20160328,6.50,1,62,145,0
5.69E+70,SeasonA_Y3,Product38,Cycle2,Country2,Biz_unit3,Cat11,SubCat20,UnitBase197,Gender1,Group2,Colour7,0,13.00,0,0,114,1
56877674,SeasonA_Y3,Product38,Cycle2,Country2,Biz_unit3,Cat11,SubCat20,UnitBase197,Gender1,Group2,Colour7,20160412,13.00,2,8,94,0
56877D81,SeasonA_Y3,Product38,Cycle2,Country2,Biz_unit4,Cat10,SubCat12,UnitBase195,Gender1,Group2,Colour7,20160404,13.00,1,10,276,0
56878A94,SeasonA_Y3,Product38,Cycle2,Country2,Biz_unit4,Cat10,SubCat9,UnitBase216,Gender2,Group2,Colour2,20160415,13.00,5,12,482,1
